RelativePath	ProcCount	Procs
HO/VerifyDocuments.aspx	2	pr_b_validategstin;pr_kyc_getdocumenttoverify
HO/VerifyPancard.aspx	1	pr_kyc_isaadhaarpanalreadyverified
HO/x_GetGstData.aspx	2	pr_x_getgstdatacons;pr_x_getgstmissingentries
HO/x_GstGLBalanceReport.aspx	2	pr_x_getgstdatawithglbalance;pr_x_getgstmissingentries
HO/x_IncomeGSTTrans.aspx	9	pr_x_bindgstdata;pr_x_bindgstunpasseddetails;pr_x_getincomegsttrandatacons;pr_x_incomegstpass;pr_x_incomegstsearch;pr_x_incomegsttrandelete;pr_x_incomegsttrandetailpass;pr_x_saveincomegstdata;pr_x_scrollsave
HO/x_IncomeGSTTransV1.aspx	3	pr_x_incomegsttranbranches;pr_x_incomegsttraninsert;pr_x_incomegsttranstatus
HO/Admin/a_CashierLimit.aspx	1	pr_a_getcashierlimitamount
HO/Admin/a_ChangePassword.aspx	1	pr_g_checkchangepassword
HO/Admin/a_Menus.aspx	2	pr_a_getallmenus;pr_a_getmodulewisemenulist
HO/Admin/a_RemoteHostAttempt.aspx	1	pr_a_remotehostattempt
HO/Admin/a_ResponsibilityRights.aspx	2	pr_a_getresponsibility;pr_a_getresponsibilitymodules
HO/Admin/a_ResponsibilityUser.aspx	3	pr_a_getresponsibilityuser;pr_a_getresponsibilityuserlist;pr_oss_alm_getsubgroup
HO/Admin/a_RoleMaster.aspx	1	pr_a_getallroles
HO/Admin/a_RoleOnMenu.aspx	26	pr_a_getactivemodules;pr_a_getadditionaluserrightspopulatemenus;pr_a_getallchieldmenus;pr_a_getloadallmenus;pr_a_getloadarentdatsetlevel;pr_a_getloadarentdatsetnotlevel;pr_a_getloadmenus;pr_a_getloadparentdatasetlevel;pr_a_getloadroledataset;pr_a_getloadroledatasetlevel;pr_a_getloadroledatasetnotlevel;pr_a_getloaduser;pr_a_getmenulist;pr_a_getmenus;pr_a_getmenusroleonmenu;pr_a_getmodulelist;pr_a_getmodules;pr_a_getmodulewiseroles;pr_a_getparentdatasetnotlevel;pr_a_getroledatasetnotlevel;pr_a_getroleonmenupopulatemenus;pr_a_getuserrghtidanduserid;pr_a_getuserrightsid;pr_a_getuserrightspopmenus;pr_a_roleonmenuupdate;pr_a_userrightsretrive
HO/Admin/A_User.aspx	7	pr_a_getorgelementdepartment;pr_a_sb_getuserlist;pr_b_usermodlog;pr_g_checkchangepassword;pr_h_getemployeeslist;pr_h_getorgelementdepartmentlist;pr_h_getorgelementlist
HO/Admin/a_UserCashierRights.aspx	4	pr_a_getuserlist;pr_a_getuserlistwithlevel;pr_a_savemenulist;pr_x_savecashieropening
HO/Admin/a_UserInModule.aspx	3	pr_a_getmodulelevel;pr_a_getmodulenotlevel;pr_a_getuserlist
HO/Admin/a_UserLedgerRights.aspx	2	pr_a_userledgerrights;pr_g_getconsbranches
HO/Admin/a_UserOprRights.aspx	2	pr_a_useroprrightsjs;pr_x_memberloanrecoveryjs
HO/Admin/a_UserRights.aspx	26	pr_a_getactivemodules;pr_a_getadditionaluserrightspopulatemenus;pr_a_getallchieldmenus;pr_a_getloadarentdatsetlevel;pr_a_getloadarentdatsetnotlevel;pr_a_getloadmenus;pr_a_getloadparentdatasetlevel;pr_a_getloadroledataset;pr_a_getloadroledatasetlevel;pr_a_getloadroledatasetnotlevel;pr_a_getloaduser;pr_a_getmenulist;pr_a_getmenus;pr_a_getmodulelist;pr_a_getmodules;pr_a_getmoduleswiserolesonmenu;pr_a_getparentdatasetnotlevel;pr_a_getroledatasetnotlevel;pr_a_getuserlist;pr_a_getuserlistwithlevel;pr_a_getuserrightsid;pr_a_getuserrightspopmenus;pr_a_savemenulist;pr_a_saveuserrights;pr_a_userrightsretrive;pr_x_savecashieropening
HO/Admin/Audit.aspx	2	pr_audit_createtriggersxml;pr_audit_saveaudit
HO/Admin/ChangePassword.aspx	2	pr_g_checkchangepassword;pr_g_checkuserexpiry
HO/Admin/ForgotPassword.aspx	7	pr_a_generateotp;pr_a_getuserdetails;pr_a_updateuserpolicy;pr_a_validateforgotpwd;pr_a_validateotp;pr_g_checkpassword;pr_g_checkuserexpiry
HO/Bank/b_ATMRequest.aspx	6	pr_b_atmrequest;pr_b_getaccountlistatmrequest;pr_b_validateatmrequest;pr_g_getatmreqclientdetails;pr_x_getglobalclient;pr_x_sb_getatmrequest
HO/Bank/b_BankList.aspx	1	pr_b_getbanklist
HO/Bank/b_BranchList.aspx	2	pr_b_getbanklist;pr_b_getbranchlist
HO/Bank/b_MergeClient.aspx	9	pr_b_savemergeclienthistory;pr_b_sb_getmergeclienthistory;pr_d_fdrdpigmytdsclient;pr_g_getglobalclientbyid;pr_g_getglobalclientdetail;pr_g_savelocalclient;pr_x_getcustomersdetails;pr_x_getglobalclientjs;pr_x_mergeclientmastertransaction
HO/Bank/b_TdsSavingSchemeMapping.aspx	1	pr_b_tdssavingschememapping
