Module	SubArea	Screen	RelativePath	Category	Complexity	Score	LegacyBucket	AspxLoc	VbLoc	Controls	Grids	Inputs	Buttons	ProcCount	Writes	ClientAssets	MigratedTo	Procs
Helpdesk		hd_DashBoard.aspx	Helpdesk/hd_DashBoard.aspx	Client-rendered / Other	Simple	0.87	Medium	40	44	2	0	0	0	0		yes		
Helpdesk		hd_DashboardDetailPopup.aspx	Helpdesk/hd_DashboardDetailPopup.aspx	Popup / Dialog	Medium	10.21	Medium	587	452	105	3	0	0	1				pr_hd_ibdashboard
Helpdesk		hd_DepositSchemeMap.aspx	Helpdesk/hd_DepositSchemeMap.aspx	Transaction / Entry	Medium	4.32	Medium	153	336	17	1	1	6	1	yes			pr_hd_savedepositscheme
Helpdesk		hd_EmailConfig.aspx	Helpdesk/hd_EmailConfig.aspx	CRUD master	Medium	7.53	Medium	179	739	30	1	9	6	1	yes			pr_hd_getemailconfig
Helpdesk		hd_ExcludeIBHead.aspx	Helpdesk/hd_ExcludeIBHead.aspx	CRUD master	Simple	3.66	Medium	135	339	15	1	0	5	0	yes			
Helpdesk		hd_FeatureConfig.aspx	Helpdesk/hd_FeatureConfig.aspx	Client-rendered / Other	Medium	6.18	Medium	25	750	2	0	0	0	1	yes	yes		pr_hd_featureconfig
Helpdesk		hd_InternetBankingReport.aspx	Helpdesk/hd_InternetBankingReport.aspx	Report	Report	3.36	Report	70	264	10	0	2	2	2	yes			pr_g_getconsbranches;pr_hd_operationalreports
Helpdesk		hd_LoginText.aspx	Helpdesk/hd_LoginText.aspx	CRUD master	Medium	9.72	Medium	162	564	34	2	3	12	5	yes			pr_hd_logintext;pr_hd_logintext_delete;pr_hd_logintext_search;pr_hd_logintext_subtext;pr_hd_logintext_subtext_search
Helpdesk		hd_ResendMail.aspx	Helpdesk/hd_ResendMail.aspx	CRUD master	Medium	11.07	Medium	121	1061	20	1	5	5	4	yes			pr_g_getconsbranches;pr_hd_getemailsmstext;pr_hd_getlogindetails;pr_hd_save_loginemaillog
Helpdesk		hd_ResendMailV1.aspx	Helpdesk/hd_ResendMailV1.aspx	CRUD master	Medium	11.54	Medium	122	1131	20	1	5	5	4	yes			pr_g_getconsbranches;pr_hd_genemailsmstext;pr_hd_getlogindetails;pr_hd_save_loginemaillog
Helpdesk		hd_ServiceStatus.aspx	Helpdesk/hd_ServiceStatus.aspx	CRUD master	Medium	5.93	Medium	164	314	41	2	8	2	1	yes			pr_hd_servicestatus
